V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
59501 2007 1 1 10175 10205 10144 178 230 146 153 76 51 0 32766 13 24 58 7 95 7 85 
59501 2007 1 2 10155 10175 10131 182 227 163 166 80 51 32700 32766 19 16 43 6 68 3 34 
59501 2007 1 3 10153 10171 10137 177 196 168 183 90 75 204 32766 4 15 34 5 58 5 0 
59501 2007 1 4 10175 10189 10159 165 207 145 131 70 56 0 32766 32 25 53 2 95 2 56 
59501 2007 1 5 10199 10215 10178 152 204 115 105 61 46 0 32766 28 24 41 2 81 2 94 
59501 2007 1 6 10218 10244 10193 135 185 107 79 52 32 0 32766 58 40 60 1 121 1 98 
59501 2007 1 7 10232 10258 10205 130 178 100 53 35 25 0 32766 50 29 62 2 114 1 91 
59501 2007 1 8 10246 10272 10221 128 177 89 57 39 24 0 32766 40 18 41 2 92 3 92 
59501 2007 1 9 10233 10261 10203 129 177 89 70 48 27 0 32766 28 10 38 11 55 2 64 
59501 2007 1 10 10218 10241 10194 154 179 126 91 52 37 0 32766 16 10 36 6 56 7 6 
59501 2007 1 11 10200 10222 10174 168 204 143 136 71 53 32700 32766 27 22 45 4 85 5 37 
59501 2007 1 12 10196 10215 10172 176 227 156 152 76 53 0 32766 15 23 41 13 58 13 45 
59501 2007 1 13 10205 10227 10181 163 208 140 128 69 50 0 32766 31 19 49 6 82 6 85 
59501 2007 1 14 10212 10234 10190 165 204 142 129 70 51 0 32766 28 23 42 6 74 7 53 
59501 2007 1 15 10195 10220 10170 175 224 153 151 76 50 0 32766 13 16 36 13 58 11 58 
59501 2007 1 16 10176 10194 10152 201 258 172 166 71 50 0 32766 27 17 33 5 59 4 52 
59501 2007 1 17 10184 10204 10163 161 210 131 168 91 72 314 32766 4 17 42 3 80 3 0 
59501 2007 1 18 10202 10223 10181 150 184 125 124 73 63 32700 32766 23 13 43 3 76 1 5 
59501 2007 1 19 10196 10219 10171 163 210 139 133 72 54 5 32766 22 17 42 11 68 11 71 
59501 2007 1 20 10180 10200 10157 161 184 139 144 79 71 8 32766 18 17 44 4 75 3 0 
59501 2007 1 21 10180 10196 10164 161 179 147 151 82 76 1 32766 15 20 35 4 63 4 0 
59501 2007 1 22 10200 10220 10183 162 188 140 147 80 66 0 32766 21 20 43 6 71 6 17 
59501 2007 1 23 10212 10238 10191 163 203 150 131 71 54 32700 32766 17 17 47 3 88 3 57 
59501 2007 1 24 10224 10248 10203 137 173 110 95 61 45 0 32766 51 24 50 3 103 2 29 
59501 2007 1 25 10221 10250 10193 145 196 113 105 64 45 0 32766 30 17 45 12 71 4 86 
59501 2007 1 26 10218 10242 10196 139 201 111 100 64 40 0 32766 30 22 65 2 129 2 91 
59501 2007 1 27 10228 10242 10208 135 194 108 103 67 40 0 32766 27 17 66 2 126 2 87 
59501 2007 1 28 10252 10286 10224 150 193 119 40 23 18 0 32766 58 28 70 2 127 2 93 
59501 2007 1 29 10242 10266 10210 125 180 72 56 38 16 0 32766 33 21 41 2 82 2 99 
59501 2007 1 30 10236 10255 10208 129 204 76 91 62 21 0 32766 35 16 45 11 64 13 94 
59501 2007 1 31 10227 10249 10203 143 218 86 85 57 17 0 32766 32 9 44 6 79 3 88 
59501 2007 2 1 10238 10260 10219 161 220 102 78 47 15 0 32766 36 23 53 2 115 1 94 
59501 2007 2 2 10243 10265 10224 145 201 108 56 35 15 0 32766 48 26 59 6 90 6 98 
59501 2007 2 3 10226 10248 10198 130 194 81 97 66 27 0 32766 29 23 39 12 61 11 95 
59501 2007 2 4 10192 10221 10162 153 220 106 89 54 22 0 32766 32 12 39 6 70 3 88 
59501 2007 2 5 10187 10205 10164 163 229 121 115 64 38 0 32766 17 12 35 11 56 7 97 
59501 2007 2 6 10186 10206 10166 179 251 121 136 68 40 0 32766 29 13 54 6 80 6 99 
59501 2007 2 7 10190 10214 10172 201 259 153 144 62 43 0 32766 26 17 41 6 71 6 100 
59501 2007 2 8 10183 10204 10165 206 261 165 154 64 39 32700 32766 25 7 39 6 65 6 58 
59501 2007 2 9 10160 10186 10130 222 271 189 200 75 58 0 32766 16 14 46 11 62 11 61 
59501 2007 2 10 10156 10173 10138 207 226 190 203 83 71 32700 32766 19 17 53 6 83 6 38 
59501 2007 2 11 10184 10209 10166 182 206 166 154 74 59 0 32766 39 19 46 7 77 7 0 
59501 2007 2 12 10170 10197 10140 181 230 152 133 65 45 0 32766 36 19 34 6 62 6 80 
59501 2007 2 13 10141 10167 10125 202 258 177 183 78 58 0 32766 22 20 34 6 57 6 66 
59501 2007 2 14 10149 10166 10132 202 235 172 206 88 71 0 32766 14 12 38 11 59 11 40 
59501 2007 2 15 10163 10193 10140 177 211 168 148 73 59 7 32766 33 25 65 6 112 6 0 
59501 2007 2 16 10129 10154 10099 195 236 167 178 78 70 0 32766 17 18 39 6 66 5 13 
59501 2007 2 17 10111 10131 10094 215 256 194 219 86 63 0 32766 15 18 40 11 58 11 7 
59501 2007 2 18 10112 10132 10097 223 255 202 241 90 70 0 32766 17 18 58 11 75 11 42 
59501 2007 2 19 10129 10153 10112 196 226 176 196 86 77 32700 32766 21 29 54 5 85 6 0 
59501 2007 2 20 10143 10160 10125 190 221 172 176 80 68 0 32766 26 16 35 6 64 6 0 
59501 2007 2 21 10149 10171 10128 184 201 176 176 84 72 10 32766 17 32 49 6 83 6 0 
59501 2007 2 22 10134 10160 10115 175 192 169 171 86 75 142 32766 19 5 33 5 58 5 0 
59501 2007 2 23 10134 10157 10116 188 232 154 154 72 54 0 32766 35 31 71 6 129 6 94 
59501 2007 2 24 10142 10161 10116 177 194 159 129 64 56 32700 32766 36 20 56 6 88 6 0 
59501 2007 2 25 10124 10140 10109 193 242 170 170 78 48 24 32766 16 20 55 7 93 6 49 
59501 2007 2 26 10152 10176 10132 177 205 163 141 70 58 0 32766 46 28 59 6 104 7 63 
59501 2007 2 27 10158 10181 10140 172 213 131 137 70 41 0 32766 32 22 49 6 88 6 81 
59501 2007 2 28 10151 10168 10133 194 236 175 154 69 50 0 32766 45 33 58 6 114 5 60 
59501 2007 3 1 10147 10167 10133 196 217 179 169 74 66 32700 32766 22 14 55 6 88 6 6 
59501 2007 3 2 10135 10157 10121 209 255 176 172 71 50 0 32766 18 21 44 7 78 7 49 
59501 2007 3 3 10123 10148 10097 217 266 188 186 73 49 0 32766 37 20 38 7 70 7 97 
59501 2007 3 4 10100 10123 10079 214 257 190 213 85 65 2 32766 20 14 38 13 53 13 50 
59501 2007 3 5 10128 10148 10097 205 246 182 175 73 43 0 32766 41 25 73 6 126 6 21 
59501 2007 3 6 10173 10197 10146 140 183 124 120 75 65 20 32766 45 25 49 6 90 6 0 
59501 2007 3 7 10164 10190 10137 112 128 99 109 82 74 12 32766 15 22 37 3 66 3 0 
59501 2007 3 8 10154 10178 10132 135 157 114 126 82 74 1 32766 22 15 37 4 64 1 0 
59501 2007 3 9 10164 10184 10146 159 184 134 145 80 71 0 32766 8 15 38 3 65 3 0 
59501 2007 3 10 10153 10176 10127 193 244 161 177 80 61 32700 32766 16 13 32 5 50 12 29 
59501 2007 3 11 10167 10190 10141 177 206 165 169 83 74 32700 32766 12 9 58 6 95 6 0 
59501 2007 3 12 10180 10202 10154 173 190 158 142 72 65 0 32766 18 19 42 5 69 4 0 
59501 2007 3 13 10153 10179 10125 193 241 170 177 79 62 0 32766 19 16 34 6 63 6 0 
59501 2007 3 14 10119 10151 10083 203 252 180 195 83 65 32700 32766 21 29 47 6 76 3 62 
59501 2007 3 15 10088 10113 10062 224 269 198 226 84 61 0 32766 20 13 42 11 67 10 65 
59501 2007 3 16 10099 10122 10075 218 248 200 242 93 80 24 32766 4 17 43 6 71 6 0 
59501 2007 3 17 10145 10168 10109 181 203 173 169 81 71 0 32766 35 26 59 6 89 6 0 
59501 2007 3 18 10143 10171 10121 177 215 151 145 73 52 32700 32766 37 20 43 6 65 6 27 
59501 2007 3 19 10149 10168 10132 168 214 134 145 77 59 54 32766 26 29 55 2 99 1 44 
59501 2007 3 20 10189 10216 10164 159 209 132 116 65 44 0 32766 46 22 51 2 100 1 82 
59501 2007 3 21 10186 10208 10165 160 190 130 136 75 58 0 32766 20 18 31 2 61 2 0 
59501 2007 3 22 10175 10196 10152 187 234 166 162 75 61 0 32766 23 14 55 6 84 6 9 
59501 2007 3 23 10159 10183 10129 206 251 182 183 76 63 0 32766 21 24 50 5 76 5 14 
59501 2007 3 24 10108 10147 10075 217 239 200 221 85 74 3 32766 26 16 35 13 52 13 0 
59501 2007 3 25 10087 10109 10067 229 258 210 248 89 74 0 32766 11 21 48 11 62 10 37 
59501 2007 3 26 10099 10117 10081 207 237 198 211 87 82 8 32766 16 21 49 6 78 6 0 
